0 1 2 
0 1 2 
0 0.999791 1.99995 
0 0.999374 1.99984 
0 0.998749 1.99969 
0 0.997915 1.99948 
0 0.996874 1.99922 
0 0.995624 1.9989 
0 0.994168 1.99854 
0 0.992504 1.99812 
0 0.990634 1.99765 
0 0.988558 1.99713 
0 0.986276 1.99656 
0 0.98379 1.99593 
0 0.981099 1.99525 
0 0.978203 1.99452 
0 0.975105 1.99374 
0 0.971804 1.99291 
0 0.968302 1.99202 
0 0.964598 1.99108 
0 0.960695 1.9901 
0 0.956592 1.98906 
0 0.952291 1.98796 
0 0.947792 1.98682 
0 0.943097 1.98562 
0 0.938207 1.98438 
0 0.933122 1.98308 
0 0.927845 1.98173 
0 0.922375 1.98033 
0 0.916714 1.97888 
0 0.910864 1.97737 
0 0.904825 1.97582 
0 0.898599 1.97421 
0 0.892187 1.97256 
0 0.885591 1.97085 
0 0.878813 1.96909 
0 0.871852 1.96728 
0 0.864712 1.96542 
0 0.857393 1.96351 
0 0.849897 1.96155 
0 0.842226 1.95954 
0 0.834381 1.95748 
0 0.826364 1.95537 
0 0.818177 1.95321 
0 0.809821 1.951 
0 0.801298 1.94874 
0 0.792611 1.94643 
0 0.783759 1.94406 
0 0.774747 1.94165 
0 0.765575 1.9392 
0 0.756246 1.93669 
0 0.746761 1.93413 
0 0.737122 1.93152 
0 0.727331 1.92887 
0 0.717392 1.92616 
0 0.707304 1.92341 
0 0.697071 1.92061 
0 0.686696 1.91776 
0 0.676178 1.91486 
0 0.665522 1.91191 
0 0.65473 1.90892 
0 0.643803 1.90587 
0 0.632743 1.90278 
0 0.621554 1.89964 
0 0.610238 1.89646 
0 0.598796 1.89322 
0 0.587231 1.88994 
0 0.575546 1.88662 
0 0.563743 1.88324 
0 0.551824 1.87982 
0 0.539792 1.87635 
0 0.527649 1.87284 
0 0.515398 1.86928 
0 0.503042 1.86567 
0 0.490583 1.86202 
0 0.478023 1.85832 
0 0.465365 1.85457 
0 0.452612 1.85078 
0 0.439766 1.84695 
0 0.42683 1.84307 
0 0.413807 1.83914 
0 0.400699 1.83517 
0 0.387509 1.83116 
0 0.374239 1.8271 
0 0.360893 1.82299 
0 0.347474 1.81884 
0 0.333983 1.81465 
0 0.320424 1.81041 
0 0.306799 1.80613 
0 0.293112 1.80181 
0 0.279364 1.79744 
0 0.26556 1.79303 
0 0.251701 1.78858 
0 0.237791 1.78408 
0 0.223832 1.77954 
0 0.209827 1.77496 
0 0.195779 1.77034 
0 0.181692 1.76568 
0 0.167567 1.76097 
0 0.153408 1.75622 
0 0.139218 1.75143 
0 0.124999 1.7466 
0 0.110755 1.74173 
0 0.0964885 1.73681 
0 0.082202 1.73186 
0 0.0678988 1.72686 
0 0.0535817 1.72183 
0 0.0392538 1.71675 
0 0.0249178 1.71164 
0 0.0105768 1.70648 
0 -0.00376622 1.70129 
0 -0.0181085 1.69606 
0 -0.0324469 1.69078 
0 -0.0467787 1.68547 
0 -0.0611008 1.68012 
0 -0.0754103 1.67473 
0 -0.0897043 1.66931 
0 -0.10398 1.66384 
0 -0.118234 1.65834 
0 -0.132464 1.6528 
0 -0.146667 1.64722 
0 -0.160839 1.6416 
0 -0.174979 1.63595 
0 -0.189082 1.63026 
0 -0.203147 1.62454 
0 -0.21717 1.61877 
0 -0.231148 1.61297 
0 -0.245079 1.60714 
0 -0.25896 1.60127 
0 -0.272787 1.59536 
0 -0.286559 1.58942 
0 -0.300271 1.58344 
0 -0.313922 1.57743 
0 -0.327508 1.57139 
0 -0.341027 1.56531 
0 -0.354476 1.55919 
0 -0.367852 1.55304 
0 -0.381152 1.54686 
0 -0.394374 1.54064 
0 -0.407515 1.53439 
0 -0.420572 1.52811 
0 -0.433542 1.52179 
0 -0.446423 1.51544 
0 -0.459213 1.50906 
0 -0.471907 1.50264 
0 -0.484505 1.4962 
0 -0.497002 1.48972 
0 -0.509398 1.48321 
0 -0.521688 1.47667 
0 -0.533871 1.47009 
0 -0.545944 1.46349 
0 -0.557904 1.45685 
0 -0.569749 1.45019 
0 -0.581476 1.44349 
0 -0.593084 1.43677 
0 -0.604569 1.43001 
0 -0.615929 1.42322 
0 -0.627162 1.41641 
0 -0.638265 1.40956 
0 -0.649236 1.40269 
0 -0.660074 1.39579 
0 -0.670774 1.38885 
0 -0.681336 1.38189 
0 -0.691757 1.3749 
0 -0.702035 1.36789 
0 -0.712168 1.36084 
0 -0.722153 1.35377 
0 -0.731988 1.34667 
0 -0.741672 1.33955 
0 -0.751202 1.33239 
0 -0.760576 1.32521 
0 -0.769793 1.318 
0 -0.778849 1.31077 
0 -0.787744 1.30351 
0 -0.796476 1.29623 
0 -0.805042 1.28892 
0 -0.813441 1.28158 
0 -0.82167 1.27422 
0 -0.829729 1.26683 
0 -0.837616 1.25942 
0 -0.845328 1.25198 
0 -0.852864 1.24452 
0 -0.860222 1.23704 
0 -0.867402 1.22953 
0 -0.8744 1.222 
0 -0.881217 1.21444 
0 -0.887849 1.20686 
0 -0.894297 1.19926 
0 -0.900558 1.19163 
0 -0.90663 1.18398 
0 -0.912514 1.17631 
0 -0.918207 1.16862 
0 -0.923708 1.16091 
0 -0.929016 1.15317 
0 -0.934129 1.14541 
0 -0.939047 1.13763 
0 -0.943769 1.12983 
0 -0.948293 1.12201 
0 -0.952618 1.11416 
0 -0.956744 1.1063 
0 -0.960669 1.09841 
0 -0.964393 1.09051 
0 -0.967914 1.08258 
0 -0.971232 1.07464 
0 -0.974346 1.06667 
0 -0.977256 1.05869 
0 -0.97996 1.05069 
0 -0.982459 1.04267 
0 -0.98475 1.03462 
0 -0.986835 1.02657 
0 -0.988712 1.01849 
0 -0.99038 1.01039 
0 -0.99184 1.00228 
0 -0.993091 0.994144 
0 -0.994133 0.985995 
0 -0.994965 0.977827 
0 -0.995587 0.969643 
0 -0.995999 0.961441 
0 -0.996201 0.953222 
0 -0.996192 0.944987 
0 -0.995973 0.936735 
0 -0.995544 0.928467 
0 -0.994903 0.920183 
0 -0.994053 0.911883 
0 -0.992992 0.903567 
0 -0.99172 0.895236 
0 -0.990239 0.886889 
0 -0.988548 0.878527 
0 -0.986647 0.87015 
0 -0.984537 0.861759 
0 -0.982218 0.853352 
0 -0.979691 0.844932 
0 -0.976956 0.836497 
0 -0.974013 0.828048 
0 -0.970863 0.819585 
0 -0.967507 0.811108 
0 -0.963946 0.802618 
0 -0.960179 0.794115 
0 -0.956208 0.785598 
0 -0.952033 0.777069 
0 -0.947656 0.768526 
0 -0.943076 0.759971 
0 -0.938296 0.751404 
0 -0.933316 0.742824 
0 -0.928137 0.734232 
0 -0.92276 0.725629 
0 -0.917185 0.717013 
0 -0.911415 0.708386 
0 -0.905451 0.699748 
0 -0.899293 0.691098 
0 -0.892943 0.682438 
0 -0.886401 0.673766 
0 -0.879671 0.665084 
0 -0.872752 0.656391 
0 -0.865646 0.647688 
0 -0.858355 0.638975 
0 -0.850881 0.630251 
0 -0.843224 0.621518 
0 -0.835386 0.612775 
0 -0.827369 0.604022 
0 -0.819175 0.595261 
0 -0.810805 0.586489 
0 -0.802262 0.577709 
0 -0.793546 0.56892 
0 -0.78466 0.560123 
0 -0.775605 0.551316 
0 -0.766384 0.542502 
0 -0.756998 0.533679 
0 -0.747449 0.524848 
0 -0.737739 0.516009 
0 -0.727871 0.507162 
0 -0.717847 0.498307 
0 -0.707668 0.489446 
0 -0.697337 0.480576 
0 -0.686855 0.4717 
0 -0.676226 0.462817 
0 -0.665451 0.453927 
0 -0.654533 0.44503 
0 -0.643474 0.436126 
0 -0.632276 0.427217 
0 -0.620941 0.418301 
0 -0.609473 0.409378 
0 -0.597874 0.40045 
0 -0.586145 0.391516 
0 -0.57429 0.382577 
0 -0.562311 0.373632 
0 -0.550211 0.364681 
0 -0.537992 0.355726 
0 -0.525657 0.346765 
0 -0.513208 0.337799 
0 -0.500649 0.328829 
0 -0.487981 0.319853 
0 -0.475208 0.310874 
0 -0.462332 0.30189 
0 -0.449356 0.292901 
0 -0.436283 0.283909 
0 -0.423116 0.274913 
0 -0.409857 0.265912 
0 -0.39651 0.256909 
0 -0.383077 0.247901 
0 -0.369561 0.23889 
0 -0.355965 0.229876 
0 -0.342292 0.220859 
0 -0.328545 0.211839 
0 -0.314727 0.202815 
0 -0.300841 0.193789 
